TF	file	PeakCount
HaibTfbsGm12878Taf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	4396
HaibTfbsGm12878Tcf12Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Tcf12Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	16597
HaibTfbsGm12878Usf1Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Usf1Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	7475
HaibTfbsGm12878Yy1V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878Yy1V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep1.narrowPeak	11614
HaibTfbsGm12878Zbtb33Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Zbtb33Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	1260
HaibTfbsGm12878Zeb1sc25388V0416102	peakSeq.optimal.wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	12328
HaibTfbsGm12891Oct2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Oct2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	6310
HaibTfbsGm12891Pax5c20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Pax5c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	3476
HaibTfbsGm12891Pol24h8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Pol24h8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	9686
HaibTfbsGm12891Pol2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Pol2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	9930
HaibTfbsGm12891Pou2f2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	6560
HaibTfbsGm12891Pu1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	29052
HaibTfbsGm12891Taf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12891Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	6617
HaibTfbsGm12891Yy1c20V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12891Yy1c20V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak	7573
HaibTfbsGm12892Pax5c20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12892Pax5c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	8922
HaibTfbsGm12892Pol24h8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12892Pol24h8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	8790
HaibTfbsGm12892Pol24h8V0416102	peakSeq.optimal.wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	8766
HaibTfbsGm12892Pol2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	11736
HaibTfbsGm12892Pol2V0416102	peakSeq.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	11624
HaibTfbsGm12892Taf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12892Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	4862
HaibTfbsGm12892Taf1V0416102	peakSeq.optimal.wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	5115
HaibTfbsGm12892Yy1V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12892Yy1V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak	8372
HaibTfbsH1hescAtf3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescAtf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	929
HaibTfbsH1hescBcl11aPcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescBcl11aPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	1183
HaibTfbsH1hescBcl3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescBcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	240
HaibTfbsH1hescCtcfsc5916V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	33902
HaibTfbsH1hescEgr1V0416101	peakSeq.optimal.wgEncodeHaibTfbsH1hescEgr1V0416101AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	3531
HaibTfbsH1hescEgr1V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescEgr1V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	3495
HaibTfbsH1hescGabpPcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescGabpPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2530
HaibTfbsH1hescHdac2sc6296V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescHdac2sc6296V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2950
HaibTfbsH1hescJundV0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescJundV0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	8667
HaibTfbsH1hescNanogsc33759V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescNanogsc33759V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	7112
HaibTfbsH1hescNrsfPcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescNrsfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	7314
HaibTfbsH1hescNrsfV0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescNrsfV0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	7128
HaibTfbsH1hescP300V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescP300V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	1875
HaibTfbsH1hescPol24h8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescPol24h8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	10688
HaibTfbsH1hescPol24h8V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescPol24h8V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	10768
HaibTfbsH1hescPol2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescPol2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	11520
HaibTfbsH1hescPol2V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescPol2V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	11632
HaibTfbsH1hescPou5f1sc9081V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	1333
HaibTfbsH1hescRad21V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescRad21V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	52457
HaibTfbsH1hescRxraV0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescRxraV0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	736
HaibTfbsH1hescSin3ak20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescSin3ak20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2816
HaibTfbsH1hescSix5Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescSix5Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2110
HaibTfbsH1hescSp1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescSp1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	6415
HaibTfbsH1hescSrfPcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2329
HaibTfbsH1hescTaf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	10012
HaibTfbsH1hescTaf1V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	9963
HaibTfbsH1hescTaf7sq8V0416102	peakSeq.optimal.wgEncodeHaibTfbsH1hescTaf7sq8V0416102AlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	5088
HaibTfbsH1hescTcf12Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescTcf12Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	2442
HaibTfbsH1hescUsf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescUsf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	12214
HaibTfbsH1hescYy1c20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak	7883
